2022-11-29 01:37:54 - INFO - python 22_fuse.py --dataset rdb --k 100 --train_start 0 --train_end 10 --valid_start 11 --valid_end 12 --log rdb_mbsl --gid 0 --embed_dim 300
2022-11-29 01:37:54 - INFO - Namespace(log='rdb_mbsl', gid=0, dataset='rdb', data_path='../preprocess/data/rdb/', train_start=0, train_end=10, valid_start=11, valid_end=12, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=300, hidden_channels=128, hidden_dims=[20, 10, 20, 8], num_layers=3, dropout=0, edge_gnn='sage', node_gnn='sage', node_predictor='cites', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', device=device(type='cuda', index=0), num_rels=4)
2022-11-29 01:37:55 - INFO - all_g: Data(x=[25024, 300], edge_index=[2, 151156], edge_attr=[151156], num_nodes=25024, ts_infos=[11, 3], raw_nid=[25024], train_val_split=143281)
2022-11-29 01:43:37 - INFO - epoch: 48, valid: {11: {'mrr': 0.6547053456306458, 'hits@1,3,10': [0.5566727519035339, 0.7221206426620483, 0.8308957815170288], 'ndcg,@100': [0.7250001897580328, 0.7241382604546125], 'male': 0.5178, 'rmsle': 0.7184, 'cor': 0.8556}}, train: {'mrr': 0.9951, 'cor': 0.9236, 'loss': 0.1416}
2022-11-29 01:43:42 - INFO - epoch: 49, valid: {11: {'mrr': 0.6579133868217468, 'hits@1,3,10': [0.5594149827957153, 0.7239488363265991, 0.8308957815170288], 'ndcg,@100': [0.7277757020394079, 0.7271925244378534], 'male': 0.517, 'rmsle': 0.718, 'cor': 0.8558}}, train: {'mrr': 0.9951, 'cor': 0.9239, 'loss': 0.1409}
2022-11-29 01:43:49 - INFO - epoch: 50, valid: {11: {'mrr': 0.6627489924430847, 'hits@1,3,10': [0.5658135414123535, 0.7248628735542297, 0.8363802433013916], 'ndcg,@100': [0.7321537403835375, 0.7316978803297434], 'male': 0.5184, 'rmsle': 0.7204, 'cor': 0.8557}}, train: {'mrr': 0.995, 'cor': 0.9245, 'loss': 0.1432}
2022-11-29 01:43:56 - INFO - epoch: 51, valid: {11: {'mrr': 0.6619977951049805, 'hits@1,3,10': [0.5612431168556213, 0.7312614321708679, 0.839122474193573], 'ndcg,@100': [0.7316736530735373, 0.7312209562964809], 'male': 0.5188, 'rmsle': 0.7209, 'cor': 0.8571}}, train: {'mrr': 0.9955, 'cor': 0.9252, 'loss': 0.1417}
2022-11-29 01:44:01 - INFO - epoch: 52, valid: {11: {'mrr': 0.6613405346870422, 'hits@1,3,10': [0.5575868487358093, 0.7303473353385925, 0.8418647050857544], 'ndcg,@100': [0.7314362121851734, 0.7310008782941847], 'male': 0.5152, 'rmsle': 0.7157, 'cor': 0.8585}}, train: {'mrr': 0.9958, 'cor': 0.926, 'loss': 0.1424}
2022-11-29 01:44:07 - INFO - epoch: 53, valid: {11: {'mrr': 0.6720449328422546, 'hits@1,3,10': [0.5749542713165283, 0.7385740280151367, 0.8400365710258484], 'ndcg,@100': [0.7389916873140971, 0.7386961345370204], 'male': 0.5167, 'rmsle': 0.7174, 'cor': 0.8594}}, train: {'mrr': 0.9952, 'cor': 0.9266, 'loss': 0.1394}
2022-11-29 01:44:12 - INFO - epoch: 54, valid: {11: {'mrr': 0.6714895367622375, 'hits@1,3,10': [0.5740402340888977, 0.7413162589073181, 0.8409506678581238], 'ndcg,@100': [0.7385394278285867, 0.7380772917893057], 'male': 0.5213, 'rmsle': 0.7233, 'cor': 0.8603}}, train: {'mrr': 0.996, 'cor': 0.9258, 'loss': 0.1363}
2022-11-29 01:44:17 - INFO - epoch: 55, valid: {11: {'mrr': 0.6666676998138428, 'hits@1,3,10': [0.5694698095321655, 0.7294332981109619, 0.8400365710258484], 'ndcg,@100': [0.7347981541142588, 0.734331933469021], 'male': 0.5137, 'rmsle': 0.7131, 'cor': 0.8585}}, train: {'mrr': 0.9956, 'cor': 0.9246, 'loss': 0.138}
2022-11-29 01:44:22 - INFO - epoch: 56, valid: {11: {'mrr': 0.6684249639511108, 'hits@1,3,10': [0.5722120404243469, 0.7330895662307739, 0.8345521092414856], 'ndcg,@100': [0.7361596054734518, 0.7358468429928121], 'male': 0.5184, 'rmsle': 0.7202, 'cor': 0.8578}}, train: {'mrr': 0.9958, 'cor': 0.9262, 'loss': 0.1355}
2022-11-29 01:44:27 - INFO - epoch: 57, valid: {11: {'mrr': 0.6710099577903748, 'hits@1,3,10': [0.5776965022087097, 0.7303473353385925, 0.8436928987503052], 'ndcg,@100': [0.7381419670478837, 0.7378175135268791], 'male': 0.5125, 'rmsle': 0.7116, 'cor': 0.8608}}, train: {'mrr': 0.9957, 'cor': 0.928, 'loss': 0.1325}
